Semester,Score,Score Range
2.2014-2015,8.4,8to10
2.2009-2010,6.2,5to8
2.2009-2010,4.2,0to5
2.2009-2010,7.4,5to8
2.2009-2010,6.8,5to8
2.2009-2010,3.2,0to5
2.2009-2010,5.8,5to8
2.2009-2010,4.4,0to5
2.2009-2010,5.7,5to8
2.2009-2010,7,5to8
2.2009-2010,6.7,5to8
2.2009-2010,8.7,8to10
2.2009-2010,5.9,5to8
2.2009-2010,4.3,0to5
2.2009-2010,6.2,5to8
2.2009-2010,8,8to10
2.2009-2010,8.9,8to10
2.2009-2010,6,5to8
2.2009-2010,5.3,5to8
2.2009-2010,6.3,5to8
2.2009-2010,3.6,0to5
2.2009-2010,3.8,0to5
2.2010-2011,7,5to8
2.2009-2010,7.1,5to8
2.2009-2010,6.2,5to8
2.2009-2010,6,5to8
2.2009-2010,4.6,0to5
2.2009-2010,5,5to8
2.2009-2010,5.6,5to8
2.2009-2010,4.8,0to5
2.2009-2010,6.2,5to8
2.2009-2010,7.4,5to8
2.2009-2010,7.4,5to8
2.2009-2010,4.8,0to5
2.2009-2010,4.7,0to5
2.2009-2010,3.4,0to5
2.2009-2010,6.9,5to8
2.2009-2010,4.4,0to5
2.2009-2010,5.7,5to8
2.2009-2010,5.1,5to8
2.2009-2010,9.5,8to10
2.2009-2010,7.1,5to8
2.2009-2010,6,5to8
2.2009-2010,7.8,5to8
2.2009-2010,6.8,5to8
2.2009-2010,5.1,5to8
2.2009-2010,7.3,5to8
2.2009-2010,3.2,0to5
2.2009-2010,6.7,5to8
2.2009-2010,4,0to5
2.2009-2010,8.3,8to10
2.2009-2010,4.8,0to5
2.2009-2010,8.3,8to10
2.2009-2010,7,5to8
2.2009-2010,6.8,5to8
2.2009-2010,5.9,5to8
2.2009-2010,5,5to8
2.2009-2010,6,5to8
2.2009-2010,6.3,5to8
2.2009-2010,8.3,8to10
2.2009-2010,7.4,5to8
2.2009-2010,7.1,5to8
2.2009-2010,7,5to8
2.2009-2010,4,0to5
2.2009-2010,8.2,8to10
2.2009-2010,6,5to8
2.2009-2010,7,5to8
2.2009-2010,4.9,0to5
2.2009-2010,7.4,5to8
2.2009-2010,7.4,5to8
2.2009-2010,6.3,5to8
2.2009-2010,6.2,5to8
2.2009-2010,8.3,8to10
2.2009-2010,7.9,5to8
2.2009-2010,9.2,8to10
2.2009-2010,6,5to8
2.2009-2010,7,5to8
2.2009-2010,4,0to5
2.2009-2010,5,5to8
2.2009-2010,6.5,5to8
2.2009-2010,0,0to5
2.2009-2010,7.5,5to8
2.2009-2010,5.4,5to8
2.2009-2010,7.4,5to8
2.2009-2010,7.3,5to8
2.2009-2010,4,0to5
2.2009-2010,7,5to8
2.2009-2010,7.1,5to8
2.2009-2010,6.3,5to8
2.2009-2010,4.9,0to5
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,5.9,5to8
2.2009-2010,5.4,5to8
2.2009-2010,6,5to8
2.2009-2010,7.4,5to8
2.2009-2010,6,5to8
2.2009-2010,5.8,5to8
2.2009-2010,4.8,0to5
2.2009-2010,7,5to8
2.2009-2010,4.7,0to5
2.2009-2010,5.2,5to8
2.2009-2010,8.8,8to10
2.2009-2010,0,0to5
2.2009-2010,6.3,5to8
2.2009-2010,5.7,5to8
2.2009-2010,5,5to8
2.2009-2010,5,5to8
2.2009-2010,4.8,0to5
2.2009-2010,5.1,5to8
2.2009-2010,3.6,0to5
2.2009-2010,7.1,5to8
2.2009-2010,5.4,5to8
2.2009-2010,8,8to10
2.2009-2010,4.1,0to5
2.2009-2010,5,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,7.3,5to8
2.2009-2010,7.2,5to8
2.2009-2010,6.6,5to8
2.2009-2010,6.9,5to8
2.2009-2010,5.8,5to8
2.2009-2010,6,5to8
2.2009-2010,7.2,5to8
2.2009-2010,7.4,5to8
2.2009-2010,6.6,5to8
2.2009-2010,6.2,5to8
2.2009-2010,5.8,5to8
2.2009-2010,7.1,5to8
2.2009-2010,6.6,5to8
2.2009-2010,5.3,5to8
2.2009-2010,6.6,5to8
2.2009-2010,6.1,5to8
2.2009-2010,5.7,5to8
2.2009-2010,6.1,5to8
2.2009-2010,5.4,5to8
2.2009-2010,5.9,5to8
2.2009-2010,6.3,5to8
2.2009-2010,7.9,5to8
2.2009-2010,3.2,0to5
2.2009-2010,3.2,0to5
2.2010-2011,8,8to10
2.2009-2010,5.5,5to8
2.2009-2010,7.1,5to8
2.2009-2010,5.7,5to8
2.2009-2010,6.3,5to8
2.2009-2010,4.8,0to5
2.2009-2010,5,5to8
2.2009-2010,7.1,5to8
2.2009-2010,5,5to8
2.2009-2010,6.8,5to8
2.2009-2010,6.5,5to8
2.2009-2010,5.5,5to8
2.2009-2010,6,5to8
2.2009-2010,8.4,8to10
2.2009-2010,6.6,5to8
2.2009-2010,5.6,5to8
2.2009-2010,5.3,5to8
2.2009-2010,9,8to10
