Semester,Score,Score Range
2.2009-2010,7,5to8
2.2009-2010,8,8to10
2.2009-2010,6,5to8
2.2009-2010,5,5to8
2.2009-2010,4,0to5
2.2009-2010,5,5to8
2.2009-2010,5,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,8,8to10
2.2009-2010,9,8to10
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,9,8to10
2.2009-2010,6,5to8
2.2009-2010,5,5to8
2.2009-2010,6,5to8
2.2009-2010,7,5to8
2.2009-2010,5,5to8
2.2009-2010,9,8to10
2.2009-2010,6,5to8
2.2009-2010,8,8to10
2.2009-2010,4,0to5
2.2009-2010,8,8to10
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,5,5to8
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,6,5to8
2.2009-2010,8.5,8to10
2.2009-2010,7,5to8
2.2009-2010,5,5to8
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,8,8to10
2.2009-2010,7,5to8
2.2009-2010,6,5to8
2.2009-2010,8,8to10
2.2009-2010,5,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,7,5to8
2.2009-2010,6,5to8
2.2009-2010,3,0to5
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,9,8to10
2.2009-2010,10,8to10
2.2009-2010,4,0to5
2.2009-2010,6,5to8
2.2009-2010,7,5to8
2.2009-2010,7,5to8
2.2009-2010,8,8to10
2.2009-2010,8,8to10
2.2009-2010,5,5to8
2.2009-2010,6,5to8
2.2009-2010,9,8to10
2.2009-2010,6,5to8
2.2009-2010,8,8to10
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,8,8to10
2.2009-2010,8.9,8to10
2.2009-2010,5,5to8
2.2009-2010,4.7,0to5
2.2009-2010,5.5,5to8
2.2009-2010,0,0to5
2.2009-2010,8.3,8to10
2.2009-2010,5.9,5to8
2.2009-2010,8.9,8to10
2.2009-2010,7.2,5to8
2.2009-2010,4.6,0to5
2.2009-2010,6.5,5to8
2.2009-2010,6.6,5to8
2.2009-2010,9.5,8to10
2.2009-2010,5.6,5to8
2.2009-2010,6.4,5to8
2.2009-2010,7.1,5to8
2.2009-2010,5.3,5to8
2.2009-2010,4.1,0to5
2.2009-2010,7.6,5to8
2.2009-2010,8.2,8to10
2.2009-2010,7.6,5to8
2.2009-2010,5.5,5to8
2.2009-2010,5.2,5to8
2.2009-2010,6.2,5to8
2.2009-2010,3.5,0to5
2.2009-2010,6.8,5to8
2.2009-2010,8,8to10
2.2009-2010,0,0to5
2.2009-2010,5.3,5to8
2.2009-2010,5.5,5to8
2.2009-2010,4.7,0to5
2.2009-2010,6.4,5to8
2.2009-2010,6.2,5to8
2.2009-2010,7,5to8
2.2009-2010,5.2,5to8
2.2009-2010,6.6,5to8
2.2009-2010,5.9,5to8
2.2009-2010,7.2,5to8
2.2009-2010,5.2,5to8
2.2009-2010,6,5to8
2.2009-2010,6.9,5to8
2.2009-2010,7.1,5to8
2.2009-2010,7.2,5to8
2.2009-2010,8.3,8to10
2.2009-2010,6,5to8
2.2009-2010,5.9,5to8
2.2009-2010,7.1,5to8
2.2009-2010,6.9,5to8
2.2009-2010,7.2,5to8
2.2009-2010,5.8,5to8
2.2009-2010,8.4,8to10
2.2009-2010,0,0to5
2.2009-2010,4,0to5
2.2009-2010,6.2,5to8
2.2009-2010,5.6,5to8
2.2009-2010,6,5to8
2.2009-2010,7.1,5to8
2.2009-2010,5.3,5to8
2.2009-2010,5,5to8
2.2009-2010,3.5,0to5
2.2009-2010,6.2,5to8
2.2009-2010,7.7,5to8
2.2009-2010,6.8,5to8
2.2009-2010,8.1,8to10
2.2009-2010,5.8,5to8
2.2009-2010,4,0to5
2.2009-2010,5,5to8
2.2009-2010,6.6,5to8
2.2009-2010,5.6,5to8
2.2009-2010,7.7,5to8
2.2009-2010,5.8,5to8
2.2009-2010,5.8,5to8
2.2009-2010,7.7,5to8
2.2009-2010,4.6,0to5
2.2009-2010,6,5to8
2.2009-2010,6,5to8
2.2009-2010,4.7,0to5
2.2009-2010,5.6,5to8
2.2009-2010,7.5,5to8
2.2009-2010,6.5,5to8
2.2009-2010,5.6,5to8
2.2009-2010,4.7,0to5
2.2009-2010,7.5,5to8
