Semester,Score,Score Range
1.2015-2016,7.5,5to8
1.2015-2016,6.6,5to8
1.2015-2016,0.8,0to5
1.2015-2016,5,5to8
1.2015-2016,8.2,8to10
1.2015-2016,8.2,8to10
1.2015-2016,7.2,5to8
1.2015-2016,8.5,8to10
1.2015-2016,5.1,5to8
1.2015-2016,8.2,8to10
1.2015-2016,0,0to5
1.2015-2016,3.8,0to5
1.2015-2016,7.2,5to8
1.2015-2016,4.3,0to5
1.2015-2016,8.5,8to10
1.2015-2016,3.1,0to5
1.2015-2016,7.3,5to8
1.2015-2016,0,0to5
1.2015-2016,8,8to10
1.2014-2015,7.6,5to8
1.2015-2016,8.3,8to10
1.2015-2016,5.4,5to8
1.2015-2016,8.7,8to10
1.2015-2016,6.5,5to8
1.2015-2016,7.5,5to8
1.2015-2016,7.5,5to8
1.2015-2016,8,8to10
1.2015-2016,5.8,5to8
1.2015-2016,7.2,5to8
1.2015-2016,8.5,8to10
1.2015-2016,9.4,8to10
1.2015-2016,6.2,5to8
1.2015-2016,5.4,5to8
1.2015-2016,6.7,5to8
1.2015-2016,7.9,5to8
1.2015-2016,7.2,5to8
1.2015-2016,8,8to10
1.2015-2016,6.7,5to8
1.2015-2016,8.2,8to10
1.2015-2016,8,8to10
1.2015-2016,8,8to10
1.2015-2016,7.4,5to8
1.2015-2016,8,8to10
1.2015-2016,6.5,5to8
1.2015-2016,7.1,5to8
1.2015-2016,8,8to10
1.2015-2016,8.1,8to10
1.2015-2016,8,8to10
1.2015-2016,6.9,5to8
1.2015-2016,5.8,5to8
1.2015-2016,7.2,5to8
1.2015-2016,7.8,5to8
1.2015-2016,8.5,8to10
1.2015-2016,5.6,5to8
1.2015-2016,6.7,5to8
1.2015-2016,8,8to10
1.2015-2016,4.7,0to5
1.2015-2016,7.7,5to8
1.2015-2016,4.6,0to5
1.2015-2016,4.6,0to5
1.2015-2016,0,0to5
1.2015-2016,9.4,8to10
1.2015-2016,8.2,8to10
1.2015-2016,8,8to10
1.2015-2016,7.3,5to8
1.2015-2016,5.9,5to8
1.2014-2015,7.4,5to8
1.2015-2016,7.8,5to8
1.2015-2016,6,5to8
1.2015-2016,7.5,5to8
1.2015-2016,7.9,5to8
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,8.1,8to10
1.2015-2016,8.5,8to10
1.2015-2016,8.5,8to10
1.2015-2016,7.5,5to8
1.2015-2016,5.4,5to8
1.2015-2016,8.2,8to10
1.2015-2016,7.6,5to8
1.2015-2016,7.8,5to8
1.2015-2016,9,8to10
1.2015-2016,0,0to5
1.2015-2016,8.1,8to10
1.2015-2016,7.7,5to8
1.2015-2016,7.2,5to8
1.2015-2016,6.4,5to8
1.2015-2016,0,0to5
1.2015-2016,0,0to5
1.2015-2016,9,8to10
1.2015-2016,3.1,0to5
1.2015-2016,6.9,5to8
1.2015-2016,7.5,5to8
1.2015-2016,8.3,8to10
1.2015-2016,8.5,8to10
1.2015-2016,8.4,8to10
1.2015-2016,4.8,0to5
1.2015-2016,8.1,8to10
1.2015-2016,8.1,8to10
1.2015-2016,1,0to5
1.2015-2016,8.5,8to10
1.2015-2016,4.4,0to5
1.2015-2016,8,8to10
1.2015-2016,7.7,5to8
1.2015-2016,8.7,8to10
1.2015-2016,7.9,5to8
1.2015-2016,8.3,8to10
1.2015-2016,0,0to5
1.2015-2016,3.9,0to5
1.2015-2016,9,8to10
1.2015-2016,4.6,0to5
1.2015-2016,0,0to5
1.2015-2016,8.5,8to10
1.2015-2016,8.4,8to10
1.2015-2016,9,8to10
1.2015-2016,9,8to10
1.2015-2016,8,8to10
1.2015-2016,9,8to10
1.2015-2016,5.8,5to8
1.2015-2016,8.2,8to10
1.2015-2016,5.3,5to8
1.2015-2016,7.7,5to8
1.2015-2016,7.4,5to8
1.2015-2016,7.8,5to8
1.2015-2016,8.3,8to10
1.2015-2016,5.1,5to8
1.2015-2016,8.4,8to10
1.2015-2016,8,8to10
1.2015-2016,7.5,5to8
1.2015-2016,8.3,8to10
1.2015-2016,8.1,8to10
1.2015-2016,7.7,5to8
1.2015-2016,7.9,5to8
1.2015-2016,5.2,5to8
1.2015-2016,8.1,8to10
1.2015-2016,6.2,5to8
1.2015-2016,9.3,8to10
1.2015-2016,8.1,8to10
2.2014-2015,8,8to10
1.2015-2016,0,0to5
1.2015-2016,7.6,5to8
2.2014-2015,0,0to5
1.2015-2016,0,0to5
2.2014-2015,0,0to5
1.2015-2016,8,8to10
1.2015-2016,0,0to5
1.2015-2016,1.2,0to5
1.2015-2016,0,0to5
2.2014-2015,7,5to8
1.2015-2016,6.7,5to8
1.2015-2016,0,0to5
1.2015-2016,3.6,0to5
1.2015-2016,7.5,5to8
1.2015-2016,8,8to10
1.2015-2016,0,0to5
1.2015-2016,7.1,5to8
1.2015-2016,0,0to5
