Semester,Score,Score Range
1.2014-2015,3.4,0to5
1.2014-2015,4,0to5
1.2014-2015,6.7,5to8
1.2014-2015,5.5,5to8
1.2014-2015,3.1,0to5
1.2014-2015,3.9,0to5
2.2014-2015,2.9,0to5
1.2014-2015,6.3,5to8
1.2014-2015,0.9,0to5
1.2014-2015,3.5,0to5
1.2015-2016,4.8,0to5
1.2014-2015,0.4,0to5
1.2014-2015,8.1,8to10
1.2014-2015,5.5,5to8
1.2014-2015,8.3,8to10
1.2014-2015,4.6,0to5
1.2014-2015,5.7,5to8
1.2014-2015,0,0to5
1.2015-2016,4.8,0to5
1.2014-2015,7.9,5to8
1.2014-2015,5.2,5to8
1.2014-2015,6.2,5to8
1.2014-2015,0.5,0to5
1.2015-2016,3.3,0to5
1.2014-2015,6.4,5to8
1.2015-2016,7.4,5to8
1.2014-2015,3.3,0to5
1.2015-2016,8.3,8to10
1.2014-2015,0.2,0to5
1.2014-2015,5.2,5to8
1.2014-2015,5.4,5to8
1.2014-2015,5.6,5to8
1.2014-2015,5.1,5to8
1.2014-2015,6.1,5to8
1.2014-2015,5.5,5to8
1.2015-2016,0,0to5
1.2014-2015,9.5,8to10
1.2014-2015,6.3,5to8
1.2014-2015,6.8,5to8
1.2014-2015,5.2,5to8
1.2014-2015,7.8,5to8
1.2014-2015,9,8to10
1.2015-2016,0,0to5
1.2014-2015,0.5,0to5
1.2015-2016,3.2,0to5
1.2015-2016,7.1,5to8
1.2014-2015,0,0to5
1.2014-2015,0.4,0to5
1.2015-2016,5.2,5to8
1.2014-2015,7.4,5to8
1.2014-2015,3.5,0to5
1.2014-2015,8.7,8to10
1.2014-2015,0,0to5
1.2014-2015,3.5,0to5
1.2014-2015,7.8,5to8
1.2014-2015,1,0to5
1.2015-2016,7.9,5to8
1.2014-2015,9.4,8to10
1.2014-2015,3.1,0to5
2.2014-2015,0.8,0to5
1.2014-2015,8.1,8to10
1.2014-2015,8,8to10
1.2014-2015,8.3,8to10
1.2014-2015,8.3,8to10
1.2014-2015,4.2,0to5
1.2014-2015,0.5,0to5
1.2015-2016,3.5,0to5
1.2014-2015,7,5to8
1.2014-2015,5.9,5to8
1.2014-2015,7.4,5to8
1.2014-2015,4.9,0to5
1.2015-2016,7.4,5to8
1.2014-2015,6.5,5to8
1.2014-2015,7,5to8
1.2014-2015,6.3,5to8
1.2014-2015,5.2,5to8
1.2014-2015,2.8,0to5
2.2014-2015,5.9,5to8
1.2014-2015,6,5to8
1.2014-2015,5.5,5to8
1.2014-2015,3.7,0to5
1.2015-2016,6.8,5to8
1.2014-2015,0.1,0to5
1.2015-2016,0,0to5
1.2014-2015,4.7,0to5
1.2014-2015,0,0to5
1.2014-2015,0.8,0to5
1.2015-2016,4.6,0to5
1.2014-2015,3,0to5
1.2015-2016,7.8,5to8
1.2014-2015,3.2,0to5
1.2015-2016,6.9,5to8
1.2014-2015,5,5to8
1.2014-2015,7.2,5to8
1.2014-2015,8.1,8to10
1.2014-2015,5.1,5to8
2.2014-2015,6.3,5to8
1.2014-2015,2,0to5
1.2014-2015,6.5,5to8
1.2014-2015,9.1,8to10
1.2014-2015,7.1,5to8
1.2014-2015,9,8to10
1.2014-2015,5.6,5to8
1.2014-2015,0,0to5
2.2014-2015,6.5,5to8
1.2014-2015,1.6,0to5
1.2015-2016,4.8,0to5
1.2014-2015,7.1,5to8
1.2014-2015,8,8to10
1.2014-2015,5.4,5to8
1.2014-2015,8.5,8to10
1.2014-2015,0.2,0to5
1.2015-2016,0.7,0to5
1.2015-2016,6.7,5to8
1.2014-2015,2.3,0to5
1.2014-2015,9.6,8to10
1.2014-2015,5,5to8
1.2014-2015,7.4,5to8
1.2014-2015,1.4,0to5
2.2014-2015,4.9,0to5
1.2014-2015,2.5,0to5
1.2015-2016,4.7,0to5
1.2014-2015,8.9,8to10
1.2014-2015,3.3,0to5
2.2014-2015,5.7,5to8
1.2014-2015,0.2,0to5
1.2015-2016,4.2,0to5
1.2014-2015,2.9,0to5
1.2015-2016,6.8,5to8
1.2014-2015,7.5,5to8
1.2014-2015,7.6,5to8
1.2014-2015,4.9,0to5
1.2014-2015,0.3,0to5
1.2015-2016,0.8,0to5
1.2014-2015,8.8,8to10
1.2014-2015,0.2,0to5
1.2015-2016,5.3,5to8
1.2014-2015,7.7,5to8
1.2014-2015,6.5,5to8
1.2014-2015,5.3,5to8
1.2014-2015,4.6,0to5
1.2014-2015,6.6,5to8
1.2014-2015,5.7,5to8
1.2014-2015,9,8to10
1.2014-2015,4,0to5
1.2015-2016,7.1,5to8
1.2014-2015,5.3,5to8
1.2014-2015,5.3,5to8
1.2014-2015,6.2,5to8
1.2014-2015,4.2,0to5
1.2014-2015,1.6,0to5
1.2015-2016,5.5,5to8
1.2014-2015,4.6,0to5
1.2014-2015,6,5to8
1.2015-2016,0,0to5
1.2014-2015,0.8,0to5
1.2015-2016,6,5to8
1.2014-2015,7.6,5to8
1.2014-2015,4.1,0to5
1.2014-2015,6.2,5to8
1.2015-2016,5.6,5to8
1.2014-2015,7.9,5to8
1.2014-2015,7.2,5to8
1.2014-2015,9.4,8to10
1.2014-2015,8,8to10
1.2014-2015,8.8,8to10
1.2014-2015,0,0to5
1.2014-2015,0.5,0to5
1.2014-2015,6.5,5to8
1.2014-2015,0.2,0to5
1.2015-2016,5.5,5to8
1.2014-2015,2.1,0to5
1.2014-2015,9.1,8to10
1.2014-2015,4.9,0to5
1.2014-2015,8.5,8to10
1.2014-2015,0,0to5
1.2014-2015,4.1,0to5
2.2014-2015,0.5,0to5
1.2014-2015,0,0to5
1.2015-2016,0,0to5
1.2014-2015,5.3,5to8
1.2014-2015,6.8,5to8
1.2014-2015,6.7,5to8
1.2014-2015,7.6,5to8
1.2014-2015,0.3,0to5
1.2015-2016,4.2,0to5
1.2014-2015,6.2,5to8
1.2014-2015,8.7,8to10
1.2014-2015,5.5,5to8
1.2014-2015,4,0to5
1.2014-2015,7.4,5to8
